epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3151.8,1.17773,1.25089,1.61122,0.71855,0.56575,0.62785,0.25684,2.24114,1.56556,2.86472,0.00056935,0.00056935,0.00056935
89,3187.36,1.18491,1.25339,1.61207,0.804,0.59203,0.67758,0.27102,2.19327,1.58807,2.8064,0.0005644,0.0005644,0.0005644
90,3222.63,1.18904,1.22893,1.612,0.78102,0.57278,0.69524,0.2764,2.17835,1.47783,2.77311,0.00055945,0.00055945,0.00055945
91,3259.23,1.17078,1.25972,1.61915,0.74888,0.60973,0.67659,0.28232,2.20049,1.59016,2.80992,0.0005545,0.0005545,0.0005545
92,3294.53,1.16823,1.20959,1.594,0.77108,0.57085,0.67529,0.28388,2.16626,1.41029,2.81489,0.00054955,0.00054955,0.00054955
93,3331.12,1.18175,1.21379,1.60786,0.71525,0.6294,0.6777,0.2981,2.09958,1.44631,2.70934,0.0005446,0.0005446,0.0005446
94,3366.81,1.17502,1.21877,1.60297,0.81944,0.63672,0.7484,0.29629,2.12144,1.36741,2.71038,0.00053965,0.00053965,0.00053965
95,3402.93,1.17787,1.23478,1.61215,0.85087,0.61889,0.70378,0.28853,2.10401,1.49642,2.70911,0.0005347,0.0005347,0.0005347
96,3438.58,1.17596,1.21367,1.60308,0.77214,0.63854,0.69531,0.27825,2.23343,1.51428,2.81005,0.00052975,0.00052975,0.00052975
97,3473.63,1.15871,1.20273,1.59208,0.73875,0.55944,0.64479,0.2753,2.14495,1.63367,2.75013,0.0005248,0.0005248,0.0005248
98,3509.77,1.17301,1.20739,1.60118,0.86423,0.54391,0.65992,0.27371,2.12018,1.53042,2.73501,0.00051985,0.00051985,0.00051985
99,3544.88,1.15192,1.182,1.57618,0.73083,0.60701,0.66274,0.28922,2.16569,1.50927,2.77479,0.0005149,0.0005149,0.0005149
100,3580.67,1.15908,1.19023,1.58535,0.81077,0.54974,0.6772,0.28763,2.12617,1.48729,2.68835,0.00050995,0.00050995,0.00050995
101,3615.7,1.15275,1.18527,1.5811,0.77348,0.67836,0.73892,0.31337,2.11199,1.37074,2.71825,0.000505,0.000505,0.000505
102,3650.83,1.16436,1.17986,1.58952,0.81435,0.63,0.71118,0.3002,2.10345,1.54553,2.67472,0.00050005,0.00050005,0.00050005
103,3687.11,1.16351,1.15337,1.59622,0.7881,0.59975,0.70094,0.2917,2.09231,1.45414,2.63568,0.0004951,0.0004951,0.0004951
104,3722.51,1.14184,1.15819,1.5695,0.85196,0.55904,0.68951,0.29134,2.06634,1.45389,2.63478,0.00049015,0.00049015,0.00049015
105,3759.84,1.14926,1.17004,1.57059,0.67089,0.65515,0.68458,0.29805,2.06976,1.37212,2.68779,0.0004852,0.0004852,0.0004852
106,3794.68,1.11797,1.15424,1.55492,0.84455,0.54608,0.68036,0.29208,2.07565,1.51133,2.67199,0.00048025,0.00048025,0.00048025
107,3829.37,1.10847,1.101,1.53956,0.73892,0.62544,0.66478,0.28599,2.18376,1.41465,2.85929,0.0004753,0.0004753,0.0004753
108,3864.46,1.12462,1.09598,1.54514,0.84392,0.62712,0.69274,0.29641,2.14314,1.50182,2.78454,0.00047035,0.00047035,0.00047035
109,3899.56,1.12664,1.11939,1.55098,0.78957,0.61981,0.68822,0.28134,2.14464,1.41594,2.74955,0.0004654,0.0004654,0.0004654
110,3936.75,1.1222,1.11757,1.55643,0.80075,0.59786,0.69716,0.30297,2.11357,1.45914,2.78101,0.00046045,0.00046045,0.00046045
111,3972.26,1.12326,1.13653,1.55066,0.81941,0.63391,0.70297,0.30304,2.14986,1.39547,2.8586,0.0004555,0.0004555,0.0004555
112,4007.51,1.10974,1.11689,1.54862,0.84198,0.58145,0.67905,0.29528,2.11319,1.49042,2.74793,0.00045055,0.00045055,0.00045055
113,4043.32,1.10454,1.10636,1.53672,0.75729,0.5416,0.62291,0.26899,2.1235,1.57685,2.79651,0.0004456,0.0004456,0.0004456
114,4077.8,1.10181,1.08219,1.52292,0.84238,0.49925,0.64114,0.28059,2.11608,1.60894,2.7229,0.00044065,0.00044065,0.00044065
115,4113.57,1.10954,1.09694,1.53387,0.78955,0.58101,0.68061,0.28475,2.12508,1.50633,2.77132,0.0004357,0.0004357,0.0004357
116,4148.46,1.10344,1.11935,1.54211,0.80818,0.55358,0.64361,0.28149,2.06559,1.6311,2.67759,0.00043075,0.00043075,0.00043075
117,4183.23,1.10013,1.09175,1.52777,0.76443,0.63496,0.7055,0.29948,2.1099,1.40593,2.74463,0.0004258,0.0004258,0.0004258
118,4220.02,1.07959,1.06522,1.51362,0.76784,0.56337,0.66272,0.27116,2.12645,1.4549,2.80873,0.00042085,0.00042085,0.00042085
119,4255.29,1.10431,1.09442,1.53684,0.836,0.56335,0.68606,0.30366,2.11705,1.5982,2.73975,0.0004159,0.0004159,0.0004159
120,4292.81,1.09461,1.08942,1.53889,0.68152,0.64082,0.68533,0.30939,2.09261,1.48954,2.75529,0.00041095,0.00041095,0.00041095
121,4327.14,1.07743,1.03062,1.5017,0.81143,0.57095,0.65727,0.29431,2.11063,1.45779,2.79493,0.000406,0.000406,0.000406
122,4363.11,1.07544,1.08259,1.50595,0.83201,0.65159,0.72846,0.30158,2.0962,1.43248,2.75828,0.00040105,0.00040105,0.00040105
123,4398.68,1.03627,1.04517,1.48636,0.82046,0.59724,0.6847,0.30938,2.08265,1.50889,2.6937,0.0003961,0.0003961,0.0003961
124,4433.55,1.07622,1.05836,1.50242,0.78872,0.54598,0.645,0.28609,2.13837,1.51526,2.84168,0.00039115,0.00039115,0.00039115
125,4469.82,1.06819,1.0555,1.51195,0.85742,0.59852,0.68812,0.30418,2.15777,1.51942,2.84297,0.0003862,0.0003862,0.0003862
126,4504.62,1.05426,1.05427,1.49704,0.85165,0.59067,0.70845,0.29308,2.19504,1.51648,2.9209,0.00038125,0.00038125,0.00038125
127,4540.45,1.05152,1.03913,1.48301,0.77153,0.61191,0.69615,0.29255,2.12087,1.4408,2.78622,0.0003763,0.0003763,0.0003763
128,4575.58,1.06997,1.05603,1.5049,0.80753,0.61379,0.70435,0.29472,2.14261,1.47757,2.86584,0.00037135,0.00037135,0.00037135
129,4611,1.05054,1.03051,1.49811,0.76082,0.64322,0.71344,0.30187,2.12292,1.49018,2.77055,0.0003664,0.0003664,0.0003664
130,4646.72,1.04556,1.0439,1.48545,0.79481,0.57784,0.66226,0.28785,2.12379,1.54772,2.80819,0.00036145,0.00036145,0.00036145
131,4681.62,1.04612,1.00742,1.47288,0.77539,0.60831,0.69123,0.28804,2.167,1.52959,2.8514,0.0003565,0.0003565,0.0003565
132,4717.86,1.0559,1.0286,1.49248,0.85131,0.56551,0.66997,0.29917,2.09241,1.5575,2.77036,0.00035155,0.00035155,0.00035155
133,4753.41,1.04993,1.05562,1.49677,0.84587,0.56789,0.68626,0.30043,2.10672,1.48013,2.77659,0.0003466,0.0003466,0.0003466
134,4788.87,1.05679,1.06902,1.49504,0.82335,0.57465,0.67964,0.29457,2.12549,1.58265,2.79374,0.00034165,0.00034165,0.00034165
135,4825.12,1.01182,0.96562,1.45074,0.77016,0.57303,0.66349,0.29231,2.12812,1.56031,2.83214,0.0003367,0.0003367,0.0003367
136,4860.71,1.01836,0.98046,1.46345,0.75483,0.55227,0.65982,0.29472,2.076,1.55077,2.79005,0.00033175,0.00033175,0.00033175
137,4897.23,1.02232,0.98783,1.46928,0.79604,0.58535,0.69221,0.32036,2.04485,1.52203,2.70821,0.0003268,0.0003268,0.0003268
138,4932.6,1.00256,0.97876,1.45261,0.75348,0.60448,0.68979,0.29517,2.08494,1.5745,2.7621,0.00032185,0.00032185,0.00032185
139,4968.12,1.03019,0.99208,1.47863,0.71527,0.61277,0.67027,0.28361,2.18066,1.581,2.86754,0.0003169,0.0003169,0.0003169
140,5003.74,1.03896,1.03357,1.48049,0.80555,0.55379,0.68732,0.31346,2.09071,1.52895,2.78539,0.00031195,0.00031195,0.00031195
141,5039.87,1.02532,0.99108,1.47121,0.83935,0.58104,0.67692,0.30131,2.11639,1.54433,2.83295,0.000307,0.000307,0.000307
142,5078.16,1.00846,0.96374,1.44609,0.81093,0.59245,0.68877,0.30647,2.12399,1.54228,2.86397,0.00030205,0.00030205,0.00030205
143,5115.2,1.01186,0.99115,1.45428,0.80492,0.60433,0.68123,0.30523,2.09224,1.45908,2.79834,0.0002971,0.0002971,0.0002971
144,5153.8,1.01116,0.94933,1.45056,0.74599,0.6104,0.6805,0.30568,2.11594,1.41615,2.84619,0.00029215,0.00029215,0.00029215
145,5191.67,1.01365,0.98271,1.46268,0.68788,0.62758,0.66647,0.30215,2.09955,1.50067,2.81413,0.0002872,0.0002872,0.0002872
146,5230.29,0.99816,0.97611,1.44261,0.72309,0.656,0.70907,0.31844,2.07761,1.50788,2.7434,0.00028225,0.00028225,0.00028225
147,5267.97,1.00179,0.97616,1.45244,0.68292,0.64216,0.66009,0.29625,2.10117,1.54305,2.78253,0.0002773,0.0002773,0.0002773
148,5304.66,0.98383,0.9416,1.43981,0.77396,0.60795,0.67479,0.30238,2.1067,1.54643,2.79898,0.00027235,0.00027235,0.00027235
149,5341.03,0.98637,0.96056,1.44263,0.88507,0.55161,0.70747,0.32175,2.08018,1.48053,2.81821,0.0002674,0.0002674,0.0002674
150,5378.17,0.99589,0.9283,1.4392,0.76837,0.6301,0.7307,0.32665,2.08638,1.44254,2.8152,0.00026245,0.00026245,0.00026245
151,5414.57,1.01881,0.96691,1.4595,0.82792,0.63377,0.74509,0.32599,2.09675,1.53366,2.82126,0.0002575,0.0002575,0.0002575
152,5451.2,0.97473,0.93958,1.43484,0.80193,0.59785,0.69714,0.31754,2.0818,1.43371,2.81821,0.00025255,0.00025255,0.00025255
153,5486.62,1.00332,0.93349,1.44474,0.74992,0.64175,0.70893,0.307,2.13673,1.46203,2.85576,0.0002476,0.0002476,0.0002476
154,5524.38,0.99002,0.94364,1.43522,0.81573,0.6054,0.68293,0.31274,2.12915,1.53849,2.80016,0.00024265,0.00024265,0.00024265
155,5559.96,0.97327,0.93945,1.41957,0.82098,0.60473,0.6857,0.30114,2.14129,1.55613,2.82936,0.0002377,0.0002377,0.0002377
156,5597.11,0.98606,0.93058,1.43066,0.85001,0.59586,0.71276,0.3051,2.1267,1.55424,2.82727,0.00023275,0.00023275,0.00023275
157,5632.77,0.97828,0.93595,1.43454,0.86379,0.60445,0.7095,0.31688,2.10912,1.54804,2.77486,0.0002278,0.0002278,0.0002278
158,5668.53,0.98481,0.94002,1.41947,0.79971,0.60938,0.66321,0.29412,2.09562,1.58205,2.77024,0.00022285,0.00022285,0.00022285
159,5705.32,0.98009,0.93123,1.42382,0.7046,0.63769,0.66619,0.30275,2.12345,1.5874,2.85068,0.0002179,0.0002179,0.0002179
160,5740.29,0.9678,0.90711,1.41847,0.81909,0.6027,0.69414,0.31925,2.11039,1.52999,2.79868,0.00021295,0.00021295,0.00021295
161,5776.55,0.98117,0.91474,1.42973,0.79314,0.64119,0.69578,0.30808,2.06513,1.56852,2.79407,0.000208,0.000208,0.000208
162,5812.45,0.95944,0.8995,1.40751,0.80947,0.63441,0.7114,0.32505,2.07755,1.54596,2.82532,0.00020305,0.00020305,0.00020305
163,5848.24,0.93955,0.87386,1.39023,0.77681,0.63856,0.69909,0.32052,2.05181,1.53041,2.78571,0.0001981,0.0001981,0.0001981
164,5884.87,0.96382,0.9059,1.40779,0.83936,0.59489,0.71074,0.31262,2.01835,1.50542,2.75407,0.00019315,0.00019315,0.00019315
165,5920.64,0.94232,0.87349,1.39937,0.80686,0.65131,0.71354,0.30507,2.09504,1.45694,2.84671,0.0001882,0.0001882,0.0001882
166,5957.72,0.95313,0.9029,1.40135,0.85649,0.59447,0.69632,0.30903,2.08823,1.52787,2.83237,0.00018325,0.00018325,0.00018325
167,5993.06,0.94932,0.90086,1.39503,0.83003,0.6036,0.69489,0.31306,2.04972,1.59693,2.76685,0.0001783,0.0001783,0.0001783
168,6029.39,0.96324,0.93175,1.40878,0.85503,0.59909,0.69685,0.31106,2.09686,1.50981,2.79299,0.00017335,0.00017335,0.00017335
